drink_wat,water_time,toilet,hh_gps_latitude,hh_gps_longitude,Country
5,5,3,7.703968333,-8.818956667,GN
3,10,10,7.705796667,-8.746573333,GN
7,20,10,7.709068333,-8.944858333,GN
8,60,8,7.709615,-8.327348333,GN
3,10,10,7.711508333,-8.291498333,GN
3,20,8,7.713186667,-8.40892,GN
5,45,3,7.713236667,-8.696021667,GN
8,15,10,7.713615,-8.950131667,GN
3,2,10,7.713956667,-8.687168333,GN
7,38,3,7.714953333,-8.769013333,GN
3,20,6,7.71604,-9.269131667,GN
7,30,8,7.716983333,-8.268665,GN
3,10,8,7.718531667,-8.366306667,GN
3,30,10,7.718548333,-8.842866667,GN
5,10,3,7.720171667,-8.825591667,GN
999995,999995,999995,7.722376667,-8.824855,GN
3,30,3,7.724703333,-8.406518333,GN
7,50,10,7.725823333,-8.828936667,GN
8,30,10,7.726151667,-8.8717,GN
3,10,8,7.727005,-8.43311,GN
3,60,3,7.727515,-9.21027,GN
3,15,3,7.728916667,-8.858008333,GN
7,20,1,7.729166667,-8.826783333,GN
3,10,3,7.72928,-8.394658333,GN
7,15,3,7.729606667,-8.827283333,GN
1,45,3,7.730245,-8.828443333,GN
7,30,3,7.730566667,-8.828121667,GN
3,10,10,7.731121667,-8.44108,GN
3,40,10,7.731676667,-8.745676667,GN
3,38,10,7.733526667,-8.74558,GN
7,20,3,7.733783333,-8.830095,GN
3,30,3,7.733953333,-8.749951667,GN
3,30,10,7.734566667,-8.748135,GN
3,20,10,7.73485,-8.510373333,GN
3,20,10,7.736141667,-8.977978333,GN
3,30,10,7.737756667,-8.750026667,GN
3,10,10,7.739036667,-8.285311667,GN
3,20,10,7.740418333,-8.505853333,GN
7,30,10,7.741633333,-8.189946667,GN
5,10,3,7.742183333,-8.75546,GN
3,20,10,7.745951667,-9.147368333,GN
8,30,10,7.747036667,-8.364121667,GN
3,20,10,7.74833,-9.190983333,GN
3,60,10,7.75113,-8.151425,GN
8,20,10,7.752965,-8.355285,GN
7,30,10,7.75618,-8.47315,GN
999995,999995,999995,7.75736,-8.817995,GN
7,10,3,7.761066667,-8.792423333,GN
7,10,10,7.762021667,-8.79158,GN
3,60,10,7.76216,-8.708983333,GN
3,45,3,7.762481667,-8.706388333,GN
3,60,3,7.762816667,-9.268421667,GN
3,10,10,7.767203333,-8.457166667,GN
3,10,10,7.771651667,-8.504685,GN
3,30,10,7.772908333,-8.769566667,GN
3,30,6,7.774888333,-8.684095,GN
8,40,10,7.776476667,-8.677338333,GN
7,60,10,7.776485,-8.16614,GN
7,5,3,7.778615,-8.804778333,GN
3,60,10,7.77919,-8.198065,GN
3,30,10,7.779198333,-8.198078333,GN
3,60,10,7.7792,-8.198126667,GN
3,20,10,7.779201667,-8.198105,GN
3,20,8,7.77921,-8.198065,GN
3,20,8,7.77924,-8.19814,GN
8,10,10,7.780475,-9.331548333,GN
3,10,10,7.7852,-8.737158333,GN
3,40,10,7.786393333,-8.712033333,GN
3,5,3,7.789228333,-8.640548333,GN
3,12,3,7.78959,-8.64268,GN
3,15,3,7.79182,-8.780625,GN
1,30,3,7.793561667,-9.228595,GN
7,30,10,7.79649,-8.524356667,GN
3,65,3,7.796635,-8.69549,GN
11,14,10,7.800831667,-9.264983333,GN
5,60,10,7.801211667,-8.699106667,GN
3,20,10,7.803021667,-8.178068333,GN
3,10,10,7.809193333,-8.652306667,GN
8,5,6,7.811293333,-8.855508333,GN
11,90,10,7.814563333,-9.371291667,GN
3,15,10,7.814971667,-9.370533333,GN
7,60,10,7.815035,-8.645923333,GN
3,60,10,7.818848333,-9.375096667,GN
3,15,10,7.825981667,-9.309406667,GN
1,60,10,7.826068333,-9.178068333,GN
3,30,3,7.826511667,-9.12228,GN
8,5,10,7.828666667,-8.842931667,GN
8,30,10,7.829085,-9.37639,GN
999995,999995,999995,7.831931667,-9.38288,GN
3,60,10,7.834118333,-8.589148333,GN
3,20,8,7.83629,-8.586011667,GN
3,10,10,7.846966667,-8.56226,GN
8,90,10,7.847031667,-8.869193333,GN
3,20,3,7.848668333,-9.107811667,GN
3,60,3,7.848678333,-9.106343333,GN
3,30,3,7.849686667,-9.108836667,GN
3,20,3,7.849961667,-9.108333333,GN
3,20,3,7.850476667,-9.107478333,GN
3,20,3,7.850985,-9.108106667,GN
7,50,10,7.853143333,-8.168606667,GN
8,40,10,7.853243333,-8.168803333,GN
8,20,10,7.854758333,-9.397258333,GN
3,30,10,7.855063333,-9.398723333,GN
8,25,10,7.858225,-9.283096667,GN
5,15,10,7.865626667,-9.337443333,GN
999995,999995,999995,7.872546667,-9.381078333,GN
999995,999995,999995,7.872641667,-9.381425,GN
7,60,10,7.910045,-9.32684,GN
11,60,10,7.921723333,-9.384333333,GN
3,120,10,7.936606667,-9.34743,GN
3,60,3,7.953218333,-9.370523333,GN
3,50,10,7.997696667,-9.356421667,GN
3,30,3,8.012886667,-9.298341667,GN
5,120,10,8.013718333,-9.36888,GN
3,6,10,8.01788,-9.35357,GN
3,10,10,8.018091667,-9.353401667,GN
3,30,3,8.024806667,-9.356023333,GN
3,120,10,8.02934,-9.380858333,GN
3,60,3,8.031216667,-9.363496667,GN
3,60,3,8.05029,-9.308013333,GN
3,30,3,8.094425,-9.404443333,GN
3,40,3,8.126843333,-9.375453333,GN
