,lat,lon,tags_bed_count,tags_doctors_num,tags_nurses_num,tags_electricity,tags_operator,tags_water_source,tags_opening_hours,Country
145,7.9628384,-9.5442703,,,,,Ministry of Education,,,GN
146,7.6552527,-9.4236636,,,,,Ministry of Education,,,GN
147,7.0001498,-11.2946564,,,,,Episcopal Mission,,,LR
148,7.8172519,-9.4665496,,,,,Ministry of Education,,,GN
149,7.613402,-9.4915006,,,,,private,,,GN
150,7.2614469,-9.4369635,,,,,private,,,LR
151,7.1958358,-9.2087559,,,,,Ministry of Education,,,LR
152,7.0227298,-11.3862562,2,076455743,9,solar,government,piped,24/7,SL
153,7.170213,-11.4859326,2,no,1,none,government,protected_well,Mo-Fr 08:00-17:00,SL
154,6.9927963,-11.4701986,3,non,1,generator,government,,Mo-Fr 08:00-17:00,SL
155,7.0878777,-11.4048937,6,2,2,solar,government,tanker_truck,Mo-Fr 08:00-17:00,SL
156,6.9678343,-11.5771008,3,0,2,none,government,protected_well,08:00-17:00,SL
157,7.0705277,-11.408143,3,non,1,none,government,protected_well,08:00-17:00,SL
158,7.0474013,-11.4541912,4,non,2,none,,protected_well,Mo-Fr 08:00-17:00,SL
159,7.0244015,-11.3912773,4,non,3,solar,combination,protected_well,24/7,SL
160,7.1758736,-11.4710257,2,1,1,none,government,unprotected_well,Mo-Fr 08:00-17:00,SL
161,7.2428099,-11.3601496,4,,4,solar,Ministry of Health and Sanitation,protected_well,Mo-Sa,SL
162,7.2408248,-11.362917,3,,1,none,government,pub_tap,Mo-Fr 08:00-17:00,SL
163,7.2875785,-11.4373499,1,0,3,none,government,pub_tap,Mo-Fr 08:00-17:00,SL
164,7.2975345,-11.3451004,1,,2,solar,Ministry of Health and Sanitation,protected_well,Mo-Sa,SL
165,7.2699072,-11.3230097,7,,3,solar,Ministry of Health and Sanitation,protected_well,Mo-Sa,SL
166,7.8769385,-10.7869388,3,,6,solar,government,pub_tap,24/7,SL
167,7.777917,-10.8131154,4,1,6,none,Ministry of Health and Sanitation,piped,,SL
168,7.8102343,-10.8147164,1,0,2,generator,government,protected_well,24/7,SL
169,7.9380076,-10.6281493,4,1,1,generator,government,rain,08:00-17:00,SL
170,7.7936834,-10.7759363,4,0,1,none,government,pub_tap,24/7,SL
171,7.9281222,-10.6741834,6,076419722,3,solar,government,rain,08:00-17:00,SL
172,7.9870385,-10.751319,9,,6,generator,government,tubewell,Mo-Fr 08:00-17:00,SL
173,8.083518,-10.6890387,8,,4,solar,Ministry of Health and Sanitation,piped,24/7,SL
174,8.0368762,-10.7262489,6,0,2,solar,government,pub_tap,08:00-17:00,SL
175,8.0842955,-10.6903362,15,0,3,solar,ngo,piped,24/7,SL
176,7.9956633,-10.6476766,8,1,3,solar,government,pub_tap,08:00-17:00,SL
177,8.1202322,-10.5656826,4,In charge,2,none,government,pub_tap,24/7,SL
178,7.9923366,-10.7529582,8,1,2,generator,government,piped,24/7,SL
179,8.38466,-10.4095071,4,,4,none,Ministry of Health and Sanitation,piped,08:00-17:00,SL
180,8.2755351,-10.5739394,0,0,7,generator,Ministry of Health and Sanitation,piped,08:00-17:00,SL
181,8.279273,-10.573907,0,0,0,none,,pub_tap,24/7,SL
182,8.2795449,-10.5739447,00,00,00,generator,,pub_tap,24/7,SL
183,8.2106812,-10.3166533,5,,2,none,government,protected_well,Mo-Fr 08:00-17:00,SL
184,8.3344641,-10.4926619,4,0,2,none,Ministry of Health and Sanitation,pub_tap,Mo-Fr 08:00-17:00,SL
185,8.2754704,-10.5736874,,1,0,generator,Ministry of Health and Sanitation,piped,08:00-17:00,SL
186,8.2797464,-10.5722763,00,00,01,generator,,pub_tap,24/7,SL
187,8.4615605,-10.3392235,15,,5,none,Ministry of Health and Sanitation,piped,24/7,SL
188,8.278029,-10.5702622,0,0,0,generator,,pub_tap,Mo-Fr 08:00-17:00,SL
189,8.3845849,-10.4135486,00,0,0,generator,,piped,24/7,SL
190,8.4617322,-10.3391157,15,2,2,solar,government,protected_well,,SL
191,8.2756336,-10.37229,10,0,7,solar,Ministry of Health and Sanitation,piped,08:00-17:00,SL
192,8.2040464,-10.4835534,3,None,2,none,government,protected_well,24/7,SL
193,8.2010932,-10.6475803,3,,2,solar,Ministry of Health and Sanitation,piped,Mo-Fr 08:00-17:00,SL
194,8.2554499,-10.4878986,8,,1,generator,Ministry of Health and Sanitation,cart,08:00-17:00,SL
195,8.2522752,-10.4183114,10,no,1,none,District Health Management Team,,24/7,SL
196,8.1764147,-10.5636871,4,,,none,District Health Management Team,pub_tap,08:00-17:00,SL
197,8.2040464,-10.4836392,4,,2,none,Ministry of Health and Sanitation,pub_tap,Mo-Sa 08:00-17:00,SL
198,8.2781498,-10.5716693,00,00,00,generator,,pub_tap,Mo-Fr,SL
199,8.2209516,-10.5856276,2,,1,none,Ministry of Health and Sanitation,pub_tap,08:00-17:00,SL
200,8.2467645,-10.5164373,1,,1,none,Ministry of Health and Sanitation,pub_tap,08:00-17:00,SL
201,8.4729772,-10.3857386,3,1,1,solar,combination,unprotected_well,Mo-Fr 08:00-17:00,SL
202,8.2779481,-10.5694807,0,0,0,generator,private,pub_tap,Mo-Fr 08:00-17:00,SL
203,8.1998838,-10.4363573,6,no,2,none,Ministry of Health and Sanitation,pub_tap,,SL
204,8.4613476,-10.3257987,8,,1,none,government,protected_well,08:00-17:00,SL
205,8.4617322,-10.3390797,4,,1,solar,government,protected_well,08:00-17:00,SL
206,8.2135291,-10.3175783,6,0,01,none,combination,pub_tap,24/7,SL
207,8.2956994,-10.4654431,12,,1,generator,Ministry of Health and Sanitation,pub_tap,08:00-17:00,SL
208,8.4613571,-10.3257966,17,088796717,3,generator,private,protected_well,08:00-17:00,SL
209,8.1987396,-10.6939587,3,0,2,none,Ministry of Health and Sanitation,,08:00-17:00,SL
210,8.2369322,-10.717485,9,0,2,none,Ministry of Health and Sanitation,protected_spring,Mo-Fr 08:00-17:00,SL
211,8.3204989,-10.5990386,2,,1,solar,Ministry of Health and Sanitation,pub_tap,08:00-17:00,SL
212,8.1696924,-10.7515597,3,2,3,none,Ministry of Health and Sanitation,protected_spring,Mo-Fr 08:00-17:00,SL
213,8.1709681,-10.7515772,3,1,2,generator,government,pub_tap,24/7,SL
214,8.274041,-10.6556332,,,,none,,pub_tap,,SL
215,8.1572668,-10.7117558,3,,1,solar,Ministry of Health and Sanitation,piped,08:00-17:00,SL
216,9.9115003,-11.4433456,5,no,1,none,government,,24/7,SL
217,8.8446089,-10.7756138,5,no,10,none,government,pub_tap,24/7,SL
218,9.0168841,-10.5969014,2,Non,1,none,Ministry of Health and Sanitation,piped,08:00-17:00,SL
219,9.0860469,-12.9739952,3,0,1,solar,government,protected_well,24/7,SL
220,9.5453772,-12.6276469,3,0,2,none,Ministry of Health and Sanitation,unprotected_spring,24/7,SL
221,8.7976534,-10.5672754,,,,,Ministry of Health and Sanitation,,,SL
222,9.3673576,-10.7399718,0,0,2,none,Ministry of Health and Sanitation,protected_well,24/7,SL
223,8.6482322,-10.5152893,3,no,1,none,combination,unprotected_spring,24/7,SL
224,9.367127,-10.7398438,3,non,4,none,government,pub_tap,24/7,SL
225,8.680495,-10.5526485,3,1,1,none,government,protected_spring,24/7,SL
226,8.8979885,-10.6807086,1,non,2,solar,combination,surface_water,24/7,SL
227,9.6729156,-12.2258155,7,1,2,solar,government,pub_tap,24/7,SL
228,9.107619,-12.9135403,3,0,2,none,Ministry of Health and Sanitation,unprotected_spring,24/7,SL
229,9.1748789,-12.9516792,4,0,4,generator,Ministry of Health and Sanitation,protected_well,24/7,SL
230,8.5267376,-10.7097588,7,0,2,none,Ministry of Health and Sanitation,piped,24/7,SL
231,9.8012147,-11.6579781,3,0,1,generator,Ministry of Health and Sanitation,,24/7,SL
232,9.0585486,-13.2183072,3,none,2,solar,government,unprotected_well,08:00-17:00,SL
233,8.4248712,-10.7859135,2,0,2,none,government,protected_spring,Mo-Fr 08:00-17:00,SL
234,9.2251218,-12.8348958,4,0,2,none,Ministry of Health and Sanitation,protected_well,24/7,SL
235,9.711456,-11.8183439,2,num,2,solar,government,pub_tap,24/7,SL
236,9.005144,-13.0750513,4,0,2,none,,protected_spring,08:00-17:00,SL
237,8.9598849,-10.6538759,1,0,1,solar,Ministry of Health and Sanitation,protected_well,08:00-17:00,SL
238,8.6896391,-10.5097961,two,0,1,solar,government,protected_well,Mo-Fr 08:00-17:00,SL
239,8.3121335,-10.8202136,2,1,1,solar,government,,Mo-Fr 08:00-17:00,SL
240,8.414969,-10.7210577,6,0,2,none,,protected_well,Mo-Fr 08:00-17:00,SL
241,8.4030395,-10.8409846,4,0,3,none,government,protected_well,Mo-Fr 08:00-17:00,SL
242,8.3921805,-10.7074524,4,1,1,none,District Health Management Team,protected_well,08:00-17:00,SL
243,9.4581951,-12.6394272,4,0,2,none,Ministry of Health and Sanitation,pub_tap,24/7,SL
244,9.2779834,-12.9407358,3,0,1,solar,government,protected_well,24/7,SL
245,8.5015711,-10.6802834,4,,1,solar,Ministry of Health and Sanitation,pub_tap,24/7,SL
246,8.7653963,-10.6309885,3,non,2,none,government,unprotected_well,Mo-Fr 08:00-17:00,SL
247,9.0751876,-13.0353856,4,0,3,solar,,protected_well,24/7,SL
248,8.854661,-10.7665845,20,,7,solar,Ministry of Health and Sanitation,pub_tap,24/7,SL
249,9.9111928,-11.44328,6,num,2,none,,protected_well,24/7,SL
250,8.2414131,-10.7909882,3,0,2,none,Ministry of Health and Sanitation,pub_tap,Mo-Fr 08:00-17:00,SL
251,9.3484602,-12.7378859,3,,2,generator,Ministry of Health and Sanitation,protected_spring,24/7,SL
252,7.5239157,-11.0996461,2,0,2,solar,Ministry of Health and Sanitation,tubewell,,SL
253,9.9736902,-11.4871287,4,,2,none,government,protected_well,24/7,SL
254,7.5246338,-10.9968122,1,,2,solar,Ministry of Health and Sanitation,protected_well,Mo-Sa,SL
255,9.2170097,-12.9192889,6,0,4,none,Ministry of Health and Sanitation,protected_well,24/7,SL
256,8.3577059,-10.8383667,0,0,2,solar,government,protected_spring,Mo-Fr 08:00-17:00,SL
257,9.4622166,-10.9204316,4,0,1,solar,Ministry of Health and Sanitation,unprotected_spring,24/7,SL
258,9.1141132,-12.9235908,2,0,8,none,Ministry of Health and Sanitation,piped,24/7,SL
259,8.7276479,-10.5056763,1,0,1,solar,government,protected_well,24/7,SL
260,9.3448938,-10.8698753,2,0,1,solar,Ministry of Health and Sanitation,Hand pump in the Community.,,SL
261,8.4234351,-10.6562419,3,1,1,none,government,,08:00-17:00,SL
262,8.4357015,-10.8663884,18,1,13,solar,government,,24/7,SL
263,9.8582686,-11.5726167,02,0,01,none,Ministry of Health and Sanitation,,24/7,SL
264,9.1038129,-12.9499197,1,0,2,solar,government,protected_well,24/7,SL
265,8.6171422,-10.7208967,4,1,4,solar,government,piped,Mo-Fr,SL
266,9.103421,-12.9107165,2,1,2,solar,Ministry of Health and Sanitation,protected_well,24/7,SL
267,9.3081699,-12.77946,4,0,1,none,Ministry of Health and Sanitation,pub_tap,24/7,SL
268,8.3099996,-10.8484411,4,0,3,none,Ministry of Health and Sanitation,protected_spring,Mo-Fr 08:00-17:00,SL
269,9.8012703,-11.6576099,4,nil,2,none,Ministry of Health and Sanitation,public hand pump,24/7,SL
270,9.3449915,-10.8699203,2,nil,2,none,Ministry of Health and Sanitation,piped,24/7,SL
271,8.642759,-10.6690657,2,0,2,solar,government,unprotected_spring,24/7,SL
272,9.3885538,-12.6701983,5,0,3,none,Ministry of Health and Sanitation,pub_tap,24/7,SL
273,9.8370565,-12.3785885,8,,2,generator,government,protected_well,24/7,SL
274,7.5244794,-10.9970677,0,0,4,solar,Ministry of Health and Sanitation,tubewell,08:00-17:00,SL
275,9.1083682,-12.9140854,2,1,2,solar,Ministry of Health and Sanitation,rain,24/7,SL
276,9.0108546,-13.1714057,3,0,1,solar,government,protected_well,08:00-17:00,SL
277,9.3240348,-10.9445867,01,0,1,none,Ministry of Health and Sanitation,protected Hand pump from the community.,24/7,SL
278,9.4654625,-10.9226509,2,,2,none,government,pub_tap,24/7,SL
279,8.5991705,-10.5844432,4,,2,solar,government,protected_well,24/7,SL
280,8.6137487,-10.581772,4,0,2,solar,government,pub_tap,24/7,SL
281,8.21629,-10.8408237,2,0,2,none,,unprotected_well,Mo-Fr 08:00-17:00,SL
282,9.5322045,-10.9602678,,,,generator,,pub_tap,,SL
283,9.0122945,-13.1095441,3,0,3,solar,government,piped,08:00-17:00,SL
284,9.9434363,-11.6445529,1,nil,2,none,Ministry of Health and Sanitation,pub_tap,24/7,SL
285,8.9591006,-10.6544955,3,0,1,solar,Ministry of Health and Sanitation,,08:00-17:00,SL
286,9.4653785,-10.9215862,3,0,2,none,Ministry of Health and Sanitation,protected_well,24/7,SL
287,8.4403943,-10.8587482,8,0,2,none,government,pub_tap,Mo-Fr 08:00-17:00,SL
288,9.0130715,-10.7280708,0,0,1,none,Ministry of Health and Sanitation,surface_water,08:00-17:00,SL
289,8.9633343,-13.0075735,5,0,1,none,government,pub_tap,08:00-17:00,SL
290,8.9400455,-10.7374573,1,0,1,none,Ministry of Health and Sanitation,surface_water,08:00-17:00,SL
291,9.102743,-12.910223,2,0,2,solar,Ministry of Health and Sanitation,protected_well,24/7,SL
292,8.2551314,-10.8137548,3,0,2,none,Ministry of Health and Sanitation,protected_well,08:00-17:00,SL
293,9.0490921,-13.2708913,7,0,3,solar,government,piped,08:00-17:00,SL
294,8.9366751,-13.1434073,4,0,4,solar,government,pub_tap,08:00-17:00,SL
295,9.1278174,-12.9103947,5,0,7,solar,Ministry of Health and Sanitation,piped,24/7,SL
296,6.9686028,-11.3124761,,,,,,,24/7,LR
297,6.9641176,-11.3182676,,,,,,,24/7,LR
298,8.0626631,-10.5057335,,,,,,,24/7,SL
299,8.0628998,-10.5038068,,,,,,,Mo-Fr 08:00-17:00,SL
300,8.0614637,-10.5072232,,,,,,,24/7,SL
301,8.0616961,-10.5070172,,,,,,,Mo-Fr 08:00-17:00,SL
302,8.1765595,-10.2329113,,,,,,,Mo-Fr 08:00-17:00,SL
303,8.1801065,-10.2285958,,,,,,,Mo,SL
304,8.1794726,-10.229569,,,,,,,Mo-Fr 08:00-17:00,SL
305,8.1778909,-10.2312863,,,,,,,Mo-Fr 08:00-17:00,SL
306,8.1792853,-10.2296279,,,,,,,Mo-Fr 08:00-17:00,SL
307,8.2302871,-10.1612756,,,,,,,sunrise-sunset,SL
308,8.2308692,-10.1609802,,,,,,,24/7,SL
309,8.2339929,-10.1600099,,,,,,,Mo-Fr 08:00-17:00,SL
310,8.3609315,-10.2089814,,,,,,,sunrise-sunset,SL
311,8.3672698,-10.2075326,,,,,,,24/7,SL
312,8.3622809,-10.2093995,,,,,,,24/7,SL
313,8.3597626,-10.2107041,,,,,,,Mo-Fr 08:00-17:00,SL
