,lat,lon,tags_bed_count,tags_doctors_num,tags_nurses_num,tags_electricity,tags_operator,tags_water_source,tags_opening_hours,Country
100,7.0227298,-11.3862562,2,076455743,9,solar,government,piped,24/7,SL
101,7.170213,-11.4859326,2,0,1,none,government,protected_well,Mo-Fr 08:00-17:00,SL
102,6.9927963,-11.4701986,3,0,1,generator,government,,Mo-Fr 08:00-17:00,SL
103,7.0878777,-11.4048937,6,2,2,solar,government,tanker_truck,Mo-Fr 08:00-17:00,SL
104,6.9678343,-11.5771008,3,0,2,none,government,protected_well,08:00-17:00,SL
105,7.0705277,-11.408143,3,0,1,none,government,protected_well,08:00-17:00,SL
106,7.0474013,-11.4541912,4,0,2,none,,protected_well,Mo-Fr 08:00-17:00,SL
107,7.0244015,-11.3912773,4,0,3,solar,combination,protected_well,24/7,SL
108,7.1758736,-11.4710257,2,1,1,none,government,unprotected_well,Mo-Fr 08:00-17:00,SL
109,7.2428099,-11.3601496,4,,4,solar,Ministry of Health and Sanitation,protected_well,Mo-Sa,SL
110,7.2408248,-11.362917,3,,1,none,government,pub_tap,Mo-Fr 08:00-17:00,SL
111,7.2875785,-11.4373499,1,0,3,none,government,pub_tap,Mo-Fr 08:00-17:00,SL
112,7.2975345,-11.3451004,1,,2,solar,Ministry of Health and Sanitation,protected_well,Mo-Sa,SL
113,7.2699072,-11.3230097,7,,3,solar,Ministry of Health and Sanitation,protected_well,Mo-Sa,SL
114,7.8769385,-10.7869388,3,,6,solar,government,pub_tap,24/7,SL
115,7.777917,-10.8131154,4,1,6,none,Ministry of Health and Sanitation,piped,,SL
116,7.8102343,-10.8147164,1,0,2,generator,government,protected_well,24/7,SL
117,7.9380076,-10.6281493,4,1,1,generator,government,rain,08:00-17:00,SL
118,7.7936834,-10.7759363,4,0,1,none,government,pub_tap,24/7,SL
119,7.9281222,-10.6741834,6,076419722,3,solar,government,rain,08:00-17:00,SL
120,7.9870385,-10.751319,9,,6,generator,government,tubewell,Mo-Fr 08:00-17:00,SL
121,8.083518,-10.6890387,8,,4,solar,Ministry of Health and Sanitation,piped,24/7,SL
122,8.0368762,-10.7262489,6,0,2,solar,government,pub_tap,08:00-17:00,SL
123,8.0842955,-10.6903362,15,0,3,solar,ngo,piped,24/7,SL
124,7.9956633,-10.6476766,8,1,3,solar,government,pub_tap,08:00-17:00,SL
125,8.1202322,-10.5656826,4,0,2,none,government,pub_tap,24/7,SL
126,7.9923366,-10.7529582,8,1,2,generator,government,piped,24/7,SL
